year,month,date,Time,latitude,longitude,depth,magnitude,DATE
2002,9,27,15:35:11,13.0059,93.1509,0,3.2,2002-09-27
2002,9,27,17:41:12,13.072,93.0932,58,4,2002-09-27
2002,9,27,19:17:08,13.0305,93.1924,0,3.5,2002-09-27
2002,9,29,11:49:26,12.9494,93.0411,32,4.3,2002-09-29
2002,9,29,16:51:52,13.2132,93.2854,58,3.8,2002-09-29
2002,10,1,15:11:37,12.8102,92.9578,0,3.4,2002-10-01
2002,10,3,23:42:43,13.0986,92.9756,32,4.1,2002-10-03
2002,10,4,21:34:25,13.1183,93.0929,32,4.5,2002-10-04
2002,10,5,22:07:16,13.1168,93.0249,32,4.3,2002-10-05
2002,10,8,18:57:33,13.0416,93.1785,58,4,2002-10-08
2002,10,12,17:08:12,12.969,93.0626,32,4,2002-10-12
2002,10,13,18:30:13,13.2031,93.1538,32,4.3,2002-10-13
2002,10,14,3:37:13,13.21,93.0453,32,4.3,2002-10-14
2002,10,17,5:22:04,13.1044,93.0625,27.2,4.9,2002-10-17
2002,10,23,11:49:48,11.292,92.9365,46,4.4,2002-10-23
2002,10,25,20:38:58,13.1922,93.2626,35,4.5,2002-10-25
2002,11,1,13:21:16,12.5701,92.6852,0,3.6,2002-11-01
2002,11,2,4:47:43,12.7676,93.0054,32,5.8,2002-11-02
2002,11,3,7:26:52,13.1927,93.251,58,4.2,2002-11-03
2002,11,14,10:13:37,12.9005,93.1236,32,3.9,2002-11-14
2002,11,15,21:01:12,12.7433,92.8002,0,3.5,2002-11-15
2002,11,27,19:27:48,12.9955,92.9171,32,3.7,2002-11-27
2002,11,27,21:13:40,13.0104,93.0745,32,4.5,2002-11-27
2002,11,28,9:38:09,12.9504,93.1291,32,4.5,2002-11-28
2002,12,3,12:32:44,10.3415,93.5791,25,3.9,2002-12-03
2002,12,4,19:24:13,13.0876,93.1184,32,4.6,2002-12-04
2002,12,21,13:52:25,12.9915,93.1415,58,3.6,2002-12-21
2002,12,21,22:31:15,13.1387,92.9557,32,4.4,2002-12-21
2002,12,26,0:39:36,12.6745,92.9244,0,3.6,2002-12-26
2003,1,8,18:29:49,12.9555,93.2513,58,3.9,2003-01-08
2003,1,9,23:14:36,11.6412,92.9111,54,4.7,2003-01-09
2003,1,12,20:17:22,11.1208,92.693,50,4.3,2003-01-12
2003,1,25,19:20:50,12.5908,93.3887,93,4,2003-01-25
2003,2,14,7:19:22,10.9515,92.1387,23.5,3.7,2003-02-14
2003,2,16,1:32:15,13.224,92.9805,29.4,4.2,2003-02-16
2003,2,16,9:22:12,10.7393,93.571,25,4.3,2003-02-16
2003,3,4,12:37:16,13.1208,92.9424,32,4.1,2003-03-04
2003,3,21,4:44:52,13.0432,92.8296,32,4.4,2003-03-21
2003,3,21,18:05:53,11.3466,92.4942,26,4.2,2003-03-21
2003,3,26,4:22:31,12.5216,92.6183,32,5.8,2003-03-26
2003,4,7,14:01:29,12.5566,92.682,26,4.9,2003-04-07
2003,4,14,12:37:31,12.8553,93.0798,19.8,4.6,2003-04-14
2003,4,23,21:49:45,13.0018,93.0897,32,3.7,2003-04-23
2003,5,5,22:56:00,12.4588,92.58,26,4,2003-05-05
2003,5,20,14:16:46,10.5905,93.4783,90.2,4.5,2003-05-20
2003,5,20,17:26:41,12.9418,93.322,58,3.5,2003-05-20
2003,5,22,8:16:27,11.4484,93.2023,46,3.8,2003-05-22
2003,5,25,2:32:51,12.8182,93.065,32,4,2003-05-25
2003,5,27,20:28:31,12.4435,93.4406,93,4.1,2003-05-27
2003,6,1,11:54:26,13.0219,93.5082,58,3.7,2003-06-01
2003,6,12,2:33:18,10.8024,92.6621,29,4,2003-06-12
2003,6,26,11:33:37,12.7485,92.9367,43.8,4.6,2003-06-26
2003,7,6,14:04:06,11.3207,92.5788,26,3.6,2003-07-06
2003,8,8,20:12:04,12.9929,92.9743,32,4,2003-08-08
2003,8,11,21:22:32,12.177,93.497,102,5.5,2003-08-11
2003,8,20,20:04:13,12.9683,92.9183,32,4.3,2003-08-20
2003,8,21,3:56:32,12.9051,93.0894,32,4.4,2003-08-21
2003,8,21,14:31:57,12.6497,93.0004,0,3.5,2003-08-21
2003,10,10,10:09:13,13.17,93.3023,58,4.1,2003-10-10
2003,10,29,18:05:29,13.3342,92.0771,35,4.2,2003-10-29
2003,11,20,14:05:03,13.099,93.1567,32.5,5.2,2003-11-20
2003,11,20,15:43:47,13.0293,92.9685,32,4,2003-11-20
2003,11,22,23:13:27,13.069,93.1319,32,4,2003-11-22
2003,12,15,19:49:57,11.8742,93.4374,93,4.2,2003-12-15
2003,12,18,11:57:09,12.3655,93.4214,35,3.7,2003-12-18
2003,12,30,10:49:56,11.8981,92.7908,28.5,3.8,2003-12-30
2004,1,4,7:14:54,10.5865,93.4453,53,4,2004-01-04
2004,1,26,2:39:55,13.2005,92.9577,32,4.1,2004-01-26
2004,1,30,3:05:12,12.1937,92.5316,25.6,4.4,2004-01-30
2004,1,31,15:51:01,10.7037,93.5238,25,4,2004-01-31
2004,3,1,4:58:55,12.2656,93.2702,93,4.2,2004-03-01
2004,3,5,2:33:46,12.5072,92.4672,26,4.2,2004-03-05
2004,3,6,10:21:32,13.0485,93.1084,34.5,5.2,2004-03-06
2004,3,21,13:53:53,12.7701,92.7117,0,3.5,2004-03-21
2004,3,26,17:24:37,11.8212,92.8213,148.5,3.9,2004-03-26
2004,4,4,14:54:39,13.4024,93.2115,0,4.2,2004-04-04
2004,4,5,23:48:17,12.9901,93.1202,32,3.9,2004-04-05
2004,4,10,15:57:00,13.1066,93.1855,23.7,5.1,2004-04-10
2004,4,15,17:46:47,13.1375,92.9793,0,3.2,2004-04-15
2004,4,16,13:53:55,11.2735,92.8146,0,3.5,2004-04-16
2004,4,17,15:26:17,12.9689,93.0791,32,3.9,2004-04-17
2004,5,3,17:41:29,13.0551,93.2011,31,5.3,2004-05-03
